Character,Line,Season,Episode
Character,line,Season,Episode
MELANIE,late,01,01
REBECCA,going like answer,01,01
MELANIE,already know answer,01,01
REBECCA,missed bus,01,01
MELANIE,doubt bus stop near brad spent night alarm work maybe,01,01
REBECCA,sleep,01,01
MELANIE,girl theresinterrupted,01,01
REBECCA,missed bus,01,01
MELANIE,something either wrong something wrong,01,01
REBECCA,nothing wrong,01,01
MELANIE,please tell know fact,01,01
REBECCA,melanie gotta go,01,01
MELANIE,lying,01,01
REBECCA,lie turn class year old good morning guy,01,01
CLASS,good morning miss rebecca,01,01
REBECCA,everybodys seat,01,01
CLASS,yes,01,01
REBECCA,ok sidney tell u weekend come sidney know shy,01,01
SIDNEY,come always tell never tell u,01,01
CLASS,giggle,01,01
REBECCA,ok really great weekend cant tell miss melanie ok,01,01
SIDNEY,,01,01
REBECCA,made new friend much fun make new friend,01,01
CLASS,yeah yes etc,01,01
GIRL 2,tell mom dad new friend,01,01
REBECCA,absolutely never keep anything parent told gibberish,01,01
CLASS,giggle,01,01
REBECCA,wh,01,01
REBECCA,gibberish,01,01
CLASS,laugh giggle,01,01
CLASS,c h,01,01
SIDNEY,,01,01
BOY,know word,01,01
WILSON,year old female first seizure one month ago lost ability speak babbled like baby present deterioration mental status,01,01
HOUSE,see assume patient cane,01,01
WILSON,put white coat like rest u,01,01
HOUSE,want think doctor,01,01
WILSON,see administration might problem attitude,01,01
HOUSE,people want sick doctor,01,01
WILSON,fair enough like healthy patient year old female,01,01
HOUSE,one cant talk liked part,01,01
WILSON,cousin,01,01
HOUSE,cousin like diagnosis either brain tumor gonna die boring,01,01
WILSON,wonder renowned diagnostician need actually know anything figure whats wrong,01,01
HOUSE,oncologist lowly infectious disease guy,01,01
WILSON,hah yes simple country doctor brain tumor age highly unlikely,01,01
HOUSE,whatever got highly unlikely,01,01
WILSON,protein marker three prevalent brain cancer came negative,01,01
HOUSE,thats hmo lab might sent high school kid chemistry set,01,01
WILSON,family history,01,01
